encounter_datetime,park_area_id,park_division,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/06/2020 10:07:00 AM,Q357B,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 09:15:00 AM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 08:50:00 AM,M047-01,Recreation,Social Distancing,Social Distancing,10,38,Open field/multi-purpose play area,,,,,Manhattan
07/01/2020 12:30:00 PM,B077,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/30/2020 12:30:00 PM,B077,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
06/30/2020 12:30:00 PM,B077,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/05/2020 11:00:00 AM,B077,Recreation,No encounter,No Encounter,,,,,,,,Brooklyn
07/05/2020 04:30:00 PM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
06/05/2020 06:30:00 PM,R088,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
,R088,Recreation,No encounter,No Encounter,,,,,,,,Staten Island
07/05/2020 01:45:00 PM,Q209,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 04:30:00 PM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 10:40:00 AM,Q102,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 04:00:00 PM,Q428,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 03:54:00 PM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 03:48:00 PM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 02:40:00 AM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 03:26:00 PM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 03:07:00 PM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 03:00:00 PM,Q448,Recreation,Social Distancing,Social Distancing,2,4,Bench/sitting area,,,,,Queens
07/05/2020 02:30:00 PM,M014-02,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/03/2020 02:30:00 PM,Q024,Recreation,Social Distancing,Social Distancing,2,0,Walking path,,,,,Queens
07/05/2020 02:00:00 PM,B245,Recreation,Social Distancing,Social Distancing,9,0,Track/field area,,,,,Brooklyn
07/05/2020 01:30:00 AM,X150L,Recreation,Social Distancing,Social Distancing,0,15,Walking path,,,,,Bronx
07/05/2020 01:00:00 AM,X092,Recreation,Social Distancing,Social Distancing,0,0,Walking path,,,,,Bronx
07/05/2020 01:00:00 PM,Q051,Recreation,Social Distancing,Social Distancing,2,4,Bench/sitting area,,,,,Queens
07/05/2020 12:46:00 AM,X028,Recreation,Social Distancing,Social Distancing,0,110,Bench/sitting area,,,,,Bronx
07/05/2020 12:30:00 PM,X299,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/05/2020 11:30:00 AM,X146,Recreation,Social Distancing,Social Distancing,1,10,Bench/sitting area,,,,,Bronx
07/05/2020 11:12:00 PM,Q015,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 11:45:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/05/2020 11:00:00 AM,X180,Recreation,Social Distancing,Social Distancing,0,10,Bench/sitting area,,,,,Bronx
07/05/2020 10:30:00 AM,X104,Recreation,Social Distancing,Social Distancing,0,0,Track/field area,,,,,Bronx
